城市,行政区,楼宇名称,地址,楼宇性质,楼盘级别,入住日期,楼层,楼栋数,门洞数,租价,居住户数,入住人数,入住率,等候厅总数,等候厅媒体位,电梯总数,电梯媒体位,媒体位总数,大框数量,小框数量,受众描述,资源类型
长沙,开福区,盛世荷园小区,荷花池111号,R-ap住宅,AAA,2008-12-31 00:00:00,33.0,5.0,7.0,16915.0,660.0,2310.0,1.0,0.0,0.0,14,,56.0,0.0,56.0,①②③④⑦,电梯框架
长沙,开福区,双湾国际二期,开福区双湾路69号,R-ap住宅,AAA,2015-01-06 00:00:00,23.0,7.0,13.0,11380.0,1767.0,6185.0,1.0,0.0,0.0,23,,83.0,0.0,83.0,①②④⑤⑥⑦,电梯框架
长沙,开福区,双湾国际一期,开福区双湾路69号,R-ap住宅,AAA,2015-01-06 00:00:00,23.0,3.0,5.0,11380.0,1767.0,6185.0,1.0,0.0,0.0,10,,40.0,0.0,40.0,①②④⑤⑥⑦,电梯框架
长沙,开福区,万国城·上品格,福元西路199号,B-ap商住公寓,AAA,2012-04-19 00:00:00,22.0,2.0,8.0,13214.0,630.0,2640.0,0.99,0.0,0.0,16,,64.0,0.0,64.0,①②③⑦,电梯框架
长沙,开福区,万国城MOMA(二期),芙蓉中路一段6号,R-ap住宅,AAA,2015-10-30 00:00:00,31.0,8.0,18.0,14000.0,3300.0,11900.0,0.97,0.0,0.0,36,,198.0,0.0,198.0,①②③⑥⑦,电梯框架
长沙,开福区,万国城MOMA(一期),芙蓉中路一段6号,R-ap住宅,AAA,2015-10-30 00:00:00,28.0,19.0,45.0,13214.0,3300.0,11900.0,0.97,0.0,0.0,57,,342.0,0.0,342.0,①②③⑥⑦,电梯框架
长沙,开福区,万科·金MALL坊,开福区福元西路,Plaza写字楼,AAA,2015-06-29 00:00:00,10.0,1.0,3.0,14000.0,308.0,3520.0,0.91,0.0,0.0,7,,28.0,0.0,28.0,①②③⑤⑥⑦,电梯框架
长沙,开福区,望麓大厦,戥子桥衡清里,Plaza写字楼,AAA,2015-11-01 00:00:00,30.0,1.0,1.0,11000.0,460.0,3520.0,1.0,0.0,0.0,2,,12.0,0.0,12.0,①②③⑥⑦,电梯框架
长沙,开福区,香江锦城,湘江大道138号,R-ap住宅,AAA,2012-12-30 00:00:00,33.0,3.0,4.0,15690.0,600.0,2135.0,0.98,0.0,0.0,8,,40.0,0.0,40.0,①②③⑦,电梯框架
长沙,开福区,新力紫园,开福区陡岭路69号,R-ap住宅,AA,2020-11-01 00:00:00,34.0,3.0,7.0,13500.0,400.0,2755.0,0.51,0.0,0.0,7,,28.0,0.0,28.0,①②③④⑤⑥⑦,电梯框架
长沙,开福区,兴汉华庭,蔡锷北路372号,R-ap住宅,AA,2003-12-30 00:00:00,24.0,1.0,3.0,11480.0,48.0,168.0,1.0,0.0,0.0,3,,18.0,0.0,18.0,①②⑦,电梯框架
长沙,开福区,兴汉门公寓,湘春路204号,R-ap住宅,AA,2004-07-01 00:00:00,8.0,1.0,2.0,9000.0,50.0,175.0,1.0,0.0,0.0,2,,12.0,0.0,12.0,①②⑦,电梯框架
长沙,开福区,雄新华府,福元路588号,R-ap住宅,AAA,2012-06-08 00:00:00,34.0,4.0,4.0,10070.0,527.0,1845.0,1.0,0.0,0.0,7,,39.0,0.0,39.0,①②③⑦,电梯框架
长沙,开福区,悦湖山,福元中路东段388号,R-ap住宅,AA,2014-06-01 00:00:00,33.0,14.0,14.0,11262.0,1930.0,6783.0,1.0,0.0,0.0,28,,196.0,0.0,196.0,①②③⑦,电梯框架
长沙,开福区,长沙市公安局金霞小区,芙蓉北路一段880号,R-ap住宅,AA,2003-10-31 00:00:00,18.0,2.0,2.0,7200.0,625.0,2188.0,1.0,0.0,0.0,4,,24.0,0.0,24.0,①②③④⑦,电梯框架
长沙,开福区,左岸春天,开福区双拥路216号,R-ap住宅,AAA,2006-01-01 00:00:00,17.0,26.0,30.0,11509.0,1400.0,5250.0,0.93,0.0,0.0,37,,148.0,0.0,148.0,①②⑥⑦,电梯框架
长沙,天心区,奥莱名苑,新谷路先锋街道奥莱名苑,R-ap住宅,AA,2016-07-01 00:00:00,15.0,3.0,5.0,8840.0,250.0,875.0,1.0,0.0,0.0,10,,60.0,0.0,60.0,⑤⑥⑦,电梯框架
长沙,天心区,百盛天心华庭,蔡锷南路48号,Plaza写字楼,AAA,2008-08-01 00:00:00,30.0,2.0,2.0,14997.0,1000.0,7040.0,1.0,0.0,0.0,7,,40.0,0.0,40.0,①②③④⑦,电梯框架
长沙,天心区,碧桂园·城市花园二期,刘家冲南路599号,R-ap住宅,AA,2016-10-31 00:00:00,26.0,5.0,16.0,12042.0,490.0,1715.0,1.0,0.0,0.0,32,,192.0,0.0,192.0,①②③⑦,电梯框架
长沙,天心区,碧桂园·城市花园一期,刘家冲南路599号,R-ap住宅,AA,2015-10-30 00:00:00,26.0,6.0,18.0,12042.0,640.0,2240.0,1.0,0.0,0.0,36,,198.0,0.0,198.0,①②③⑦,电梯框架
长沙,天心区,巢之恋,木莲冲路169号,B-ap商住公寓,AA,2010-06-01 00:00:00,30.0,4.0,8.0,12035.0,853.0,5280.0,1.0,0.0,0.0,16,,80.0,0.0,80.0,①②③⑦,电梯框架
长沙,天心区,华宫大厦,长沙市天心区轻院路33号,B-ap商住公寓,AAA,2002-12-01 00:00:00,29.0,3.0,3.0,12000.0,341.0,3960.0,1.0,0.0,0.0,6,,36.0,0.0,36.0,①②③④⑤⑥⑦,电梯框架
长沙,天心区,华新花苑(湖南有色金属小区),天心区书院南路189号,R-ap住宅,AAA,2010-10-30 00:00:00,30.0,4.0,13.0,12016.0,258.0,903.0,1.0,0.0,0.0,26,,156.0,0.0,156.0,①②③⑤⑥⑦,电梯框架
长沙,天心区,江南华府,南二环二段282号,B-ap商住公寓,AAA,2019-04-30 00:00:00,33.0,3.0,3.0,10000.0,180.0,3960.0,0.71,0.0,0.0,9,,54.0,0.0,54.0,①②⑥⑦,电梯框架
长沙,天心区,金房奥斯卡,长沙市天心区芙蓉南路,R-ap住宅,AA,2013-06-30 00:00:00,14.0,5.0,9.0,11638.0,380.0,1453.0,0.92,0.0,0.0,18,,72.0,0.0,72.0,①⑥⑦,电梯框架
长沙,天心区,凯旋大厦,芙蓉中路二段122号,Plaza写字楼,AAA,1996-10-28 00:00:00,12.0,1.0,1.0,20000.0,75.0,3520.0,1.0,0.0,0.0,2,,12.0,0.0,12.0,①②⑦,电梯框架
长沙,天心区,克拉美丽山庄1期A区,友谊路958号（与新开铺路交汇处）,R-ap住宅,AAA,2013-12-28 00:00:00,32.0,3.0,7.0,9500.0,580.0,2100.0,0.97,0.0,0.0,14,,84.0,0.0,84.0,①②④⑤⑦,电梯框架
长沙,天心区,克拉美丽山庄1期B区,友谊路958号（与新开铺路交汇处）,R-ap住宅,AAA,2013-12-28 00:00:00,32.0,3.0,4.0,9500.0,780.0,2828.0,0.97,0.0,0.0,8,,48.0,0.0,48.0,①②④⑤⑦,电梯框架
长沙,天心区,丽水熙园,天心区新姚北路308号,R-ap住宅,AAA,2018-04-20 00:00:00,32.0,4.0,4.0,9200.0,450.0,2198.0,0.72,0.0,0.0,8,,48.0,0.0,48.0,①②③⑥⑦,电梯框架
长沙,天心区,绿地公馆2期A区,芙蓉南路二段88号,R-ap住宅,AAA,2013-04-19 00:00:00,14.0,7.0,19.0,12500.0,500.0,1890.0,0.93,0.0,0.0,19,,76.0,0.0,76.0,①②④⑤⑦,电梯框架
长沙,天心区,绿地公馆2期B区,芙蓉南路二段88号,R-ap住宅,AAA,2013-04-19 00:00:00,14.0,4.0,11.0,12500.0,300.0,1120.0,0.94,0.0,0.0,11,,44.0,0.0,44.0,①②④⑤⑦,电梯框架
长沙,天心区,绿地公馆一期(精装豪宅),芙蓉南路二段88号,R-ap住宅,AAA,2013-04-19 00:00:00,14.0,10.0,20.0,13000.0,594.0,2156.0,0.96,0.0,0.0,22,,88.0,0.0,88.0,①②④⑤⑦,电梯框架
长沙,天心区,漫步江湾,湘江中路,R-ap住宅,AAA,2015-05-01 00:00:00,34.0,4.0,4.0,11000.0,604.0,2114.0,1.0,0.0,0.0,8,,40.0,0.0,40.0,①②③⑦,电梯框架
长沙,天心区,铭安佳园,天悦嘉园和香芙嘉园西北门中间,R-ap住宅,AA,2021-02-01 00:00:00,18.0,1.0,2.0,9999.0,130.0,525.0,0.87,0.0,0.0,4,,20.0,0.0,20.0,①②③④⑤⑥⑦,电梯框架
长沙,天心区,欧洲城,长沙市五凌路328号,R-ap住宅,AAA,2011-04-01 00:00:00,18.0,4.0,9.0,12985.0,1950.0,7000.0,0.98,0.0,0.0,18,,72.0,0.0,72.0,①②⑦,电梯框架
长沙,天心区,欧洲城二期,五凌路328号,R-ap住宅,AAA,2015-08-06 00:00:00,18.0,9.0,22.0,13864.0,1500.0,5544.0,0.95,0.0,0.0,44,,176.0,0.0,176.0,①⑦,电梯框架
