省（直辖市）,城市,播控形式,城市级别,行政区,商圈,点位名称,场景,位置,尺寸（宽*高）,面积,MR尺寸,时长（S）,轮播频次(次/天),周期,周客流（万）,120刊例价,180刊例价,地址,亮屏时间
宁夏,银川,单点播控,三线,西夏,金波北街商圈,银川西夏万达广场,中庭,场内1号大中庭正上方,5.2*2.6=13.52*3,40.56,,15.0,120.0,1,28.0,170000.0,,银川市西夏区金波北街75号,10:00-22:00
宁夏,石嘴山,单点播控,五线,大武口区,大武口步行街商圈,石嘴山万达广场（户外）,户外,1号门外墙面转角屏,14.2*8.5,120.8,,15.0,120.0,1,28.0,600000.0,,宁夏回族自治区石嘴山市大武口区贺兰山路27号,10:00-22:00
宁夏,吴忠市,单点播控,五线,利通区,万达商区,吴忠万达（户外）,户外,中庭环廊1号门头,13*7,91.0,,15.0,120.0,1,38.0,60000.0,,宁夏回族自治区吴忠市利通区开元大道与利宁北街交叉口,10:00-21:30
宁夏,中卫,单点播控,五线,沙坡头区,核心商圈,中卫万达广场（户外）,户外,1号门上方,9*5,45.0,,15.0,120.0,1,18.0,100000.0,,宁夏回族自治区中卫市沙坡头区南苑西路56号,10:00-22:00
青海,西宁,单点播控,四线,城中,麒麟湾商圈,西宁王府井百货（中心店）,中庭,中庭（A馆）,5.12*2.72,13.93,,15.0,120.0,1,35.0,30000.0,,西宁市城中区西大街40号,9:00-21:00
青海,西宁,单点播控,四线,城西,虎台商圈,西宁王府井百货（新宁广场）,中庭,中庭,9.3*2.9,27.0,,15.0,120.0,1,25.0,30000.0,,西宁市城西区五四西路1号,9:00-21:00
青海,西宁,单点播控,四线,城西,西郊商圈,西宁王府井百货（大象城店）,中庭,中庭,6*20,120.0,,15.0,120.0,1,37.0,30000.0,,西宁市城西区五四西路与文汇路交叉口,9:00-21:00
青海,西宁,单点播控,四线,城东,城东商圈,西宁吾悦广场,中庭,中庭,12.16*4.48,54.47,,15.0,120.0,1,20.0,40000.0,,西宁市城东区八一路68-22,10:00-21:30
青海,西宁,单点播控,四线,城东,新千国际商圈,西宁王府井生活广场,中庭,中庭（北）,5*12,60.0,,15.0,120.0,1,23.0,30000.0,,西宁市城东区建国南路66号,9:00-21:00
山西,太原,单点播控,二线,杏花岭,解放路商圈,太原万达（龙湖店）,中庭,一层中庭，吊装，环绕,17.6*3.2,56.32,,15.0,180.0,1,30.0,,100000.0,太原市杏花岭区解放路175号,10:00-22:00
山西,太原,单点播控,二线,小店,亲贤北街,太原市王府井百货超市（双屏）,通道,广场平台（东，西）出入口,4.5*2.1=9.45*2,18.9,,15.0,240.0,4,15.0,,80000.0,太原市小店区亲贤北街99号,9:30-22:00
山西,太原,单点播控,二线,小店,小店商圈,太原北美N1艺术购物中心,户外,户外屏,19*10,190.0,,15.0,180.0,1,15.0,,150000.0,太原市小店区体育南路和晋阳街交汇处东北角,10:00-22:00
山西,太原,单点播控,二线,小店,小店商圈,太原北美新天地时尚中心,户外,户外屏,14*21,294.0,,15.0,120.0,4,15.0,500000.0,,太原市小店区长风街116号,10:00-22:00
山西,太原,单点播控,二线,万柏林,万象商圈,太原万象城,户外,户外（双屏套装）,22.6*12.7=287.02*2,574.04,,15.0,120.0,4,45.0,240000.0,,山西省太原市万柏林区长兴路5号,10:00-22:00
山西,太原,单点播控,二线,草坪,草坪区商圈,太原天美杉杉奥特莱斯广场,中庭,2号门中庭,12.8*7.5,96.0,,15.0,180.0,1,25.0,,40000.0,山西省太原市尖草坪区和平北路277号,10:00-22:00
山西,太原,单点播控,二线,杏花岭区,万达商圈,万达广场(太原龙湖店),中庭,中庭,10.05*3.2,32.16,,15.0,180.0,4,45.0,,200000.0,山西省太原市杏花岭区解放路175号,10：00-22：00
山西,太原,单点播控,二线,小店区,万达商圈,万达广场(龙城店),中庭,中庭,10.05*3.2,32.16,,15.0,180.0,4,20.0,,200000.0,山西省太原市龙城大街130号,10：00-22：00
山西,阳泉,单点播控,五线,阳泉市,核心商圈,山西阳泉万达,室内,中庭,8*3,24.0,,15.0,,2,,45000.0,45000.0,山西省阳泉市平阳东街与新城大道交叉口东北角,10：00-22：00
山西,阳泉,单点播控,五线,郊区,万达商圈,万达广场(阳泉新城店),中庭,中庭,8*3.2,24.0,,15.0,120.0,4,20.0,90000.0,,山西省阳泉市平阳东街与新城大道交叉口东北角,10：00-22：00
山西,大同,单点播控,四线,平城区,万达商圈,万达广场（大同平城店）（户外）,户外,外墙,12*10,120.0,,15.0,180.0,4,28.0,,200000.0,山西省大同市平城区永和路与南环东路交叉口东北角,10：00-22：00
山西,大同,单点播控,四线,云冈区,核心商圈,大同吾悦广场A（户外）,户外,外墙,17.47*10.31,180.1157,,15.0,120.0,4,25.0,150000.0,,山西省大同市南环西路与平德路交汇处（恒安新区北侧）,10：00-22：00
